umap1,umap2,state
0.67760074,1.2319019,start
0.8938214,5.238836,start
-4.261085,6.1845474,start
-5.8383965,2.6384647,start
-3.7728927,5.9632635,start
0.62496614,2.2438326,start
-2.7597635,1.1724566,start
-5.369832,3.418258,start
-5.2552238,2.3629847,start
-2.944697,4.908892,start
-2.229069,1.7212801,start
-4.1113214,3.6361527,start
-1.7235558,3.6091397,start
2.1360142,5.189026,start
1.2121994,4.392336,start
-5.55456,5.0124264,start
-0.5670424,2.2669027,start
-2.4750702,2.4345891,start
-2.2647622,1.6688683,start
-1.5572051,5.284664,start
-1.1890317,1.4312259,start
-0.95351976,2.9218793,start
-2.9548254,1.5760326,start
-2.294335,3.0315142,start
-4.096743,2.0382795,start
0.051038396,2.6111627,start
-1.5328265,2.9337676,start
-1.1765978,2.0283163,start
-1.0653958,4.3895473,start
-4.04716,2.2788918,start
2.1210935,3.345124,start
-5.058931,2.9746513,start
-5.334159,3.074079,start
-1.090693,4.5714254,start
-2.328971,5.594712,start
-3.6088681,3.8347073,start
2.3623016,3.6700776,start
0.016081644,4.6189995,start
-2.7001574,3.9437566,start
-2.3997083,4.292279,start
-0.17140889,0.37549514,start
-4.931936,4.1815047,start
-4.8638964,0.6351561,start
-0.92616236,3.5530117,start
-0.3202313,1.6247327,start
3.3129365,5.0252795,start
-4.1633754,4.201017,start
-2.7958403,6.484669,start
-2.187359,4.4597516,start
-2.233786,3.5964718,start
-2.5043406,5.0817375,start
-0.93716496,2.662872,start
-0.12302545,5.0397377,start
-2.1605167,1.425334,start
-3.0093305,2.2769928,start
-4.1579385,3.9014277,start
-2.620027,1.363602,start
-3.6550705,1.9466054,start
-2.5673804,-0.23582374,start
-0.4424304,2.3486178,start
-1.1267328,0.89017004,start
-6.0047803,4.1775446,start
-1.2966198,5.0625935,start
-2.6901753,0.4918829,start
-1.1495594,1.428219,start
-4.1734495,2.1998117,start
-0.5295712,5.2715344,start
-3.9734805,0.8597184,start
-4.640545,3.0850706,start
-3.5376594,3.9187448,start
-3.2317586,5.3454733,start
-3.0173588,2.8884912,start
1.2212899,1.799856,start
-2.4594767,1.5031878,start
-3.781018,5.194568,start
-3.839021,3.6130037,start
-0.28920546,4.3561535,start
-5.495524,2.1877909,start
-4.3660007,4.831777,start
-4.7019324,3.360142,start
-2.1203368,0.622481,start
-1.5297906,2.8858309,start
-5.137239,1.8322386,start
-3.962329,0.27961883,start
-3.017042,6.609704,start
-1.8250434,3.297627,start
-5.3688145,4.5812836,start
-4.4667487,4.4120045,start
-5.611586,2.993341,start
-1.117559,2.88905,start
-3.7452354,3.6580596,start
-6.30026,2.5464773,start
-0.86755735,5.616252,start
0.7174615,6.3773565,start
-5.7904687,3.6703186,start
-3.4088688,3.0098321,start
1.6629821,4.760335,start
-4.6892157,1.1137719,start
-4.1311636,5.3861604,start
-4.9185305,4.471779,start
0.9383326,4.963221,start
0.2757091,4.4836946,start
-3.6327426,0.5474974,start
1.6830435,2.3882458,start
-4.2806406,5.2859473,start
-1.6707823,1.9699645,start
-2.5946841,4.1798563,start
3.1541872,4.974939,start
-0.11688353,4.2350845,start
-2.850127,1.9697158,start
-0.7837917,2.5420165,start
-1.5229005,6.8994446,start
-2.5196733,1.9534848,start
-2.1603272,0.9620231,start
-4.6893535,0.97123224,start
-1.325689,1.3115478,start
-3.6054688,4.466975,start
3.1276379,4.307438,start
-4.0118437,2.4015515,start
-1.78804,1.1134127,start
-0.76590735,1.6174816,start
-2.371676,1.5254116,start
-4.919006,1.5198469,start
-3.8054378,5.002695,start
-5.8428354,3.3438213,start
-6.0524716,3.281239,start
-5.039378,1.240063,start
-3.1275258,3.0895045,start
-1.9536694,5.439726,start
-0.24971467,5.666458,start
-5.532153,1.1848503,start
-4.2196817,5.5880194,start
-2.287357,2.4557447,start
-4.808633,3.4650474,start
-3.1246717,4.4331226,start
1.0324737,3.062333,start
-0.13188936,1.5875456,start
-1.6286517,2.5180001,start
-1.21133,2.0640547,start
-4.939263,3.7051816,start
-5.6492696,4.677878,start
-5.7014546,2.1125643,start
-4.289195,2.0425303,start
-4.107253,3.4592927,start
0.72261685,5.923262,start
-4.747512,1.0628904,start
-4.102978,3.781249,start
0.35301644,5.0985847,start
