umap1,umap2,state
-5.52548,5.490911,start
-2.3310874,9.108374,start
-3.1763177,8.032647,start
-3.504397,7.1320357,start
-5.0686264,9.13039,start
-5.8182054,10.68065,start
-4.321438,11.470389,start
-4.6509113,6.8940563,start
-6.6705084,10.947393,start
-2.1204267,6.2369084,start
-3.805057,10.1649275,start
-7.704704,9.613857,start
-2.8075616,7.227302,start
-5.4838934,6.218316,start
-2.4489386,7.1629014,start
-5.7051897,5.0269003,start
-2.8766491,5.8985558,start
-6.479937,4.991583,start
-6.3192854,7.0988555,start
-5.340818,9.697329,start
-4.358838,8.337001,start
-7.7003245,8.519759,start
-0.51563203,8.925917,start
-4.772071,6.0530457,start
-3.7170687,8.938122,start
-4.91282,7.7341166,start
-2.5458827,7.6888866,start
-7.979532,9.101537,start
-5.7844615,10.796435,start
-5.7005415,8.823681,start
-4.558645,5.8266315,start
-1.9947102,9.938719,start
-6.9704013,5.9637547,start
-7.540988,8.995545,start
-4.455958,10.09568,start
-3.6950836,8.570344,start
-6.051647,7.992312,start
-5.463671,9.6384115,start
-7.3972197,10.770279,start
-1.9564574,7.8620143,start
-5.3235855,10.501281,start
-8.207069,7.437044,start
-3.2591295,11.682472,start
-3.5397592,5.8023844,start
-7.5664372,10.831063,start
-5.195673,7.121034,start
-0.70478755,9.818159,start
-7.8105645,8.663349,start
-5.2810416,8.771103,start
-7.2310324,10.527145,start
-0.20350984,9.58498,start
-1.3525263,10.4976845,start
-6.2410583,10.262822,start
0.66457415,8.099346,start
-6.625225,11.687098,start
-3.8200781,10.075219,start
-4.6881504,7.040606,start
0.47323248,10.096497,start
-1.7882513,6.359297,start
-4.6171956,8.15432,start
-2.2889335,11.156817,start
-4.53153,5.3361497,start
-3.4677882,8.408797,start
-3.603545,6.6504884,start
-6.218719,8.46729,start
-2.8931038,7.6626034,start
-5.3783627,9.316704,start
0.6619269,7.502164,start
-5.6966596,6.066224,start
-3.356828,9.167124,start
-2.293365,8.145121,start
-3.617506,9.935196,start
-7.830979,10.401427,start
-5.1027684,9.352135,start
-7.20135,8.003353,start
-7.6779547,7.651741,start
-7.5077453,6.588817,start
-6.37399,7.5757885,start
-3.17103,6.5429473,start
-5.6078024,5.8437757,start
-7.8779254,7.491653,start
-5.6301622,7.951604,start
-3.8387675,10.715853,start
-6.3323197,7.6497183,start
-3.400105,7.7546234,start
-0.16779551,6.868451,start
-1.5883529,6.2677984,start
-2.952585,8.296409,start
-3.8227093,11.643949,start
-5.863747,7.5905347,start
-7.221323,10.5283785,start
-6.5536294,6.39765,start
-6.72386,6.6482606,start
-7.4785266,9.286061,start
0.10117213,8.035232,start
-6.2672997,6.941276,start
-7.0878587,8.006461,start
-0.9696071,6.8467855,start
-1.2506312,9.705285,start
-7.5066547,9.090127,start
-6.134535,8.918177,start
-4.1899657,7.753644,start
-4.5230775,6.255098,start
-3.4566298,6.5081553,start
-6.930837,11.063591,start
-2.1948066,8.130039,start
-6.201161,8.1365185,start
-4.8999677,9.821247,start
-6.674303,10.574405,start
-4.7268853,9.593193,start
-3.7199986,9.538933,start
-4.3679056,5.6684422,start
-7.7650046,9.876751,start
-5.49504,9.062978,start
-5.8238087,10.717294,start
-1.3104903,9.749343,start
-6.3111367,11.182243,start
-5.75176,9.268884,start
-7.698127,10.608505,start
0.5075406,7.764695,start
-3.146588,10.9329195,start
-5.8876467,10.884037,start
-6.759554,11.716243,start
-6.474892,5.0172834,start
-7.5106454,9.086981,start
-1.3865765,7.5025606,start
-1.8273226,8.082539,start
-3.55654,9.826965,start
-6.566773,6.542353,start
-7.117997,8.408212,start
-1.7908492,5.341991,start
-2.8315384,11.608477,start
-8.202755,9.304206,start
-4.2974463,10.873279,start
-5.38815,4.685843,start
-3.032958,7.908576,start
-2.119936,11.341615,start
-2.5788171,7.848886,start
-5.364765,10.515551,start
-3.137532,10.562418,start
-6.9789987,8.798614,start
-4.0755887,7.2187567,start
-1.9184952,10.656502,start
-0.8965785,10.1004505,start
-2.955782,11.036067,start
-4.2962985,6.7015257,start
-4.759648,8.838653,start
-4.2643723,8.512684,start
-3.7982411,6.5010962,start
-2.3964784,10.127055,start
-1.187661,8.136473,start
-4.0710807,7.971863,start
-4.51178,8.41696,start
-1.4081614,9.01653,start
-4.4929557,8.6367035,start
-6.632685,8.687336,start
-5.9029517,7.8696957,start
-6.3573785,10.459624,start
-3.9673574,7.3543096,start
-1.9893371,6.795797,start
-8.243319,8.166504,start
-4.378832,8.5691185,start
0.21053591,7.975211,start
-2.8631065,8.922789,start
-5.7048073,10.497333,start
-6.469724,5.361811,start
-7.8886724,9.109986,start
-5.02939,5.620562,start
-5.8329215,9.402109,start
-5.5120907,8.127428,start
-5.9589405,10.712117,start
-3.0741978,7.946239,start
-0.90129954,10.540411,start
-2.856491,8.836975,start
-4.348489,8.494801,start
-1.0351092,6.568314,start
-0.64269024,8.547133,start
-2.032173,8.410866,start
-0.6081882,8.152828,start
-3.7404864,10.556754,start
-6.040485,10.208995,start
-0.110666156,9.566092,start
-3.0922427,6.8871536,start
-6.752705,6.744184,start
-8.091464,9.963196,start
-4.311632,8.268648,start
0.29494506,9.538797,start
-3.1279657,7.01499,start
-1.9509435,11.122203,start
-0.69685346,7.5685363,start
-2.552589,10.303069,start
-6.7134843,10.044724,start
-2.996557,10.91359,start
-6.856698,7.946773,start
-7.325178,9.841817,start
-2.8559523,7.3418345,start
-4.928467,6.6951528,start
-7.175459,6.062114,start
-4.862541,7.0457664,start
