umap1,umap2,state
3.591434,9.29778,start
0.47841102,7.070132,start
7.455988,6.9266434,start
5.717596,6.127565,start
-0.11403452,8.476792,start
-0.3646461,9.448159,start
0.035958774,7.1770444,start
2.3347042,8.225456,start
-1.0549291,10.167451,start
0.17022981,7.3482857,start
9.010459,9.2474785,start
-0.07333439,9.088827,start
1.4011742,9.999707,start
1.246381,10.953925,start
5.9970016,7.1776347,start
1.1622167,9.726631,start
2.2639692,9.178974,start
-1.3881739,10.126668,start
1.2148803,9.341778,start
5.537204,11.767127,start
2.578211,10.622263,start
7.9773088,6.182917,start
-0.20241936,8.670187,start
1.8246578,9.946082,start
0.27807206,11.852733,start
0.47772276,11.043077,start
0.9610634,9.940461,start
5.3650093,11.032739,start
1.6475128,11.335225,start
5.477913,11.531476,start
-0.34707865,9.442985,start
2.2229855,8.472346,start
3.0576277,9.650425,start
-0.40111133,9.80397,start
1.0957719,8.035872,start
1.8417339,10.1153555,start
-0.7111963,9.299771,start
-1.1394202,8.053493,start
6.446552,7.481225,start
3.732603,8.492102,start
4.015862,9.313202,start
3.1456623,8.024892,start
-0.8269155,9.566406,start
0.26872614,10.596384,start
4.9067426,8.798899,start
2.1753814,8.190418,start
2.0559058,6.8656707,start
-0.25057483,11.829165,start
-0.1828795,7.797361,start
-0.9597,8.535584,start
-0.08235861,10.056336,start
2.3610024,9.270597,start
0.12688905,10.789206,start
-0.5602059,11.540922,start
3.277478,9.057806,start
4.8496637,11.966765,start
0.49264818,9.392485,start
5.480145,7.690134,start
1.0164908,7.598722,start
7.6354795,9.76016,start
2.8180106,7.7682147,start
2.4372382,8.98218,start
2.5464454,10.23701,start
4.0736914,10.607826,start
8.706604,8.346643,start
0.9458422,8.334084,start
-0.010792138,6.9333687,start
1.0468508,7.8059897,start
3.0859494,7.406526,start
-0.7012537,11.823852,start
4.5053124,8.624308,start
3.5558782,10.408423,start
-0.9216121,11.285484,start
-0.6757638,10.742074,start
-1.2849917,10.132897,start
-0.99240226,8.986477,start
4.456533,6.285694,start
-0.41677877,11.615593,start
5.0982046,9.17476,start
1.7134265,9.7884655,start
0.44763047,9.655635,start
6.779007,8.587001,start
2.1010838,9.425445,start
1.0787216,9.006387,start
-0.5292359,10.209802,start
9.415449,7.5682535,start
3.4539628,9.651294,start
1.7694459,8.255043,start
-0.82748044,11.2081,start
-0.3357287,10.836505,start
3.220581,7.147289,start
3.5056875,9.79116,start
5.7096224,7.230845,start
6.472505,5.972572,start
-1.3254681,8.825599,start
5.4804792,6.6753893,start
-0.60007644,11.175587,start
1.5833025,10.225661,start
1.5190046,8.269404,start
1.8574349,9.816397,start
0.9533456,11.143983,start
0.91327864,9.924598,start
2.9632924,11.3128805,start
4.6167083,7.7191525,start
2.7474058,10.459403,start
0.76203394,10.648817,start
2.7563355,10.750259,start
1.9904268,10.715993,start
0.717114,10.861234,start
2.2521389,12.276806,start
6.0417466,6.154018,start
-0.27140573,9.285848,start
2.4390442,9.361867,start
1.4828006,8.273929,start
0.31086093,8.974884,start
0.8383634,11.210541,start
2.6179838,10.059441,start
-0.38580766,8.045251,start
1.2163843,9.537675,start
1.2699857,10.2979355,start
1.759071,11.585491,start
6.895629,5.475012,start
5.803361,12.868199,start
0.44851357,11.476516,start
-0.6070415,11.0307865,start
3.9141338,6.782301,start
0.46760243,7.034833,start
-1.5987524,9.600351,start
2.0825377,6.612364,start
2.5353649,9.794892,start
1.6696053,10.246748,start
0.24135524,9.829896,start
0.72767526,7.7457705,start
0.19419448,11.487191,start
0.76945287,10.446548,start
4.2314014,10.248731,start
-1.1911645,11.337943,start
7.43963,9.733188,start
-0.87876993,10.248436,start
5.7952857,9.957174,start
0.041585498,7.567254,start
1.3765179,7.445951,start
4.5955667,7.887786,start
4.403189,5.623252,start
2.5760303,10.341064,start
-1.8096906,10.375101,start
-0.24200848,9.780982,start
2.0841067,11.922118,start
4.8923993,7.048589,start
-0.059983492,9.185579,start
1.4893916,9.400723,start
-0.5688013,10.937647,start
-1.2610154,9.317577,start
1.6364409,8.2881565,start
1.1254518,9.930097,start
5.0535755,6.209719,start
3.173196,9.690121,start
4.103446,7.7129436,start
1.1327404,8.647623,start
0.3335673,8.95309,start
-0.6835829,11.894478,start
5.2423677,6.6632323,start
-0.36434013,12.2113495,start
6.169493,10.100027,start
-0.7090089,9.19539,start
2.3258111,10.277743,start
3.364589,11.132459,start
3.1684864,6.4728703,start
2.2935088,10.019047,start
0.5804366,9.323578,start
2.2378302,10.23258,start
3.820514,5.958707,start
7.323873,5.779578,start
2.98236,8.147001,start
3.2823164,10.974987,start
-0.91864103,9.98193,start
0.69319844,9.518282,start
-1.8861685,9.64376,start
2.5196896,9.918206,start
5.954728,8.471798,start
1.8918526,10.757038,start
3.6080685,5.955719,start
1.6492562,9.486172,start
2.0669816,7.690397,start
0.5293183,7.915808,start
-0.087251864,9.731548,start
-0.9913098,10.982117,start
0.45429844,9.755729,start
1.5340984,10.78642,start
1.1541092,9.376352,start
8.573003,8.420553,start
-0.014652092,10.564907,start
-0.9018599,10.647694,start
3.8598447,9.004373,start
-1.1886239,11.097704,start
2.9976156,9.975198,start
0.7821549,10.411318,start
-1.12346,9.116819,start
0.680728,10.645575,start
-0.81424654,11.343117,start
-0.11801175,10.392613,start
-0.13408716,9.36323,start
2.8440952,9.108461,start
0.30648473,7.5944457,start
0.100762255,10.432834,start
-0.927415,9.880938,start
0.6624978,11.620399,start
0.47438237,10.885639,start
5.700884,7.9693513,start
2.3169997,8.321644,start
2.0859585,10.270259,start
2.6124456,10.52788,start
1.5075518,9.678492,start
1.6617734,12.14156,start
2.2386615,7.495186,start
0.62708235,8.921847,start
-0.9536639,8.966402,start
5.1932454,6.216279,start
0.171705,9.876001,start
1.4662806,8.642701,start
0.31825474,10.294914,start
2.7973049,7.5115924,start
4.141988,8.241803,start
0.46441317,9.934757,start
0.5969606,8.043015,start
-0.45911485,9.322731,start
0.8902105,10.175115,start
-0.21137835,11.030023,start
2.604289,8.211581,start
1.1392509,11.17813,start
1.9012088,10.769273,start
-0.35078344,9.060884,start
0.10131205,9.457458,start
3.2002125,8.54024,start
0.17779458,10.485104,start
1.9722008,11.492094,start
-0.089320675,10.548535,start
4.0175343,8.320212,start
-0.11409526,10.899037,start
1.1118599,10.10507,start
4.2101407,7.959251,start
2.332281,10.162265,start
2.053861,8.35619,start
5.44548,6.296463,start
1.9462292,10.786027,start
0.73091155,10.897625,start
0.19252907,9.297311,start
0.11614852,8.928873,start
3.794397,10.3754425,start
-0.7918534,11.031688,start
-0.0054218876,9.361431,start
0.9377323,9.9246435,start
4.4640636,6.5786304,start
6.4617085,7.495667,start
1.6380246,10.253454,start
0.78583103,9.282575,start
2.7261212,9.10286,start
4.021011,6.7587395,start
3.3507748,7.795342,start
2.514774,9.621771,start
4.041511,6.835084,start
0.6516859,11.795534,start
0.47098163,8.951692,start
