index,UMAP_1,UMAP_2,state
4219,5.021224,7.1921864,goal
4464,5.889206,6.6548786,goal
4487,7.2905307,3.0000305,goal
4183,2.7377315,7.732508,goal
4575,5.027866,3.0485654,goal
4378,4.0426884,5.1377,goal
4628,9.516409,3.270627,goal
4221,3.7851465,4.7899942,goal
4193,2.461188,3.300728,goal
4591,6.1976166,6.4615445,goal
4266,6.0563025,0.8375505,goal
4579,3.3117888,4.8146324,goal
4156,9.551656,5.779858,goal
4431,4.8542233,2.2645597,goal
4357,8.688677,1.4863541,goal
4510,0.9388083,5.357413,goal
4594,3.84134,5.1168547,goal
4199,7.623376,5.526917,goal
4107,4.5333276,6.998363,goal
4494,7.424153,4.3818674,goal
4423,4.9910774,4.7129316,goal
4170,9.645492,4.956595,goal
4118,4.9301457,0.09414036,goal
4537,8.710519,5.24121,goal
4448,9.878695,5.399901,goal
4171,3.939533,7.877726,goal
4590,4.106023,6.5394998,goal
4583,8.837204,3.9447248,goal
4237,9.762005,6.1252804,goal
4598,6.734699,2.319959,goal
4542,7.98379,3.567593,goal
4283,3.752079,6.328355,goal
4546,7.799393,4.01368,goal
4371,6.6507697,3.501143,goal
4520,5.03869,3.5216284,goal
4210,2.6036658,7.13738,goal
4243,8.833103,3.3229032,goal
4585,4.218364,6.237234,goal
4576,5.4107056,7.4068346,goal
4335,3.1112146,4.1331077,goal
4211,6.5714717,4.6875434,goal
4429,5.1949687,6.355919,goal
4572,4.416208,7.5269327,goal
4119,8.871281,4.2012844,goal
4559,8.6649065,2.1601977,goal
4129,5.056862,8.08324,goal
4185,5.445036,6.939054,goal
4158,1.6903112,6.645238,goal
4522,8.017298,4.3037586,goal
4484,3.407686,1.0139334,goal
4225,4.3984213,4.862099,goal
4504,8.230594,4.9500914,goal
4240,7.655261,6.9671035,goal
4592,8.444042,3.048373,goal
4192,9.294892,3.2036674,goal
4124,5.236144,7.70353,goal
4550,5.847917,1.6993785,goal
4297,3.5688896,4.279468,goal
4621,6.3702903,2.6028147,goal
4310,7.402329,4.556336,goal
4181,4.445179,1.1957339,goal
4515,9.242222,5.7592874,goal
4123,3.643125,2.8363962,goal
4361,4.7262583,1.4788873,goal
4202,4.6465645,5.6319714,goal
4601,5.8129535,1.8981423,goal
4367,2.2703397,4.881808,goal
4615,2.7537181,6.2056246,goal
4477,8.00196,1.4758402,goal
4364,5.427555,3.5939293,goal
4516,8.00701,2.3387854,goal
4471,4.13811,1.5260801,goal
4593,3.6068003,3.211949,goal
4201,5.9919844,0.3907357,goal
4508,6.3377686,2.0033445,goal
4184,6.487635,3.2341468,goal
4368,4.184077,3.1359713,goal
4404,9.132352,3.7119906,goal
4344,3.0105247,4.7747474,goal
4260,6.3019404,5.590853,goal
4294,9.301184,4.7198343,goal
4540,2.97706,3.306747,goal
4282,4.819711,6.1924863,goal
4121,3.134229,6.592564,goal
4167,3.1727774,4.585841,goal
4133,5.6793127,0.5676959,goal
4623,9.353793,3.7666814,goal
4400,4.588414,2.288527,goal
4432,4.180131,4.4664435,goal
4539,4.4798656,6.059747,goal
4273,6.7499514,4.3138714,goal
4584,1.227337,6.1560354,goal
4341,3.7584517,1.5010253,goal
4561,8.086872,1.2694014,goal
4359,6.777349,5.3685546,goal
4178,4.9944944,6.0836267,goal
4194,3.1744275,1.6318606,goal
4214,3.931653,3.480005,goal
4238,9.318295,5.3101616,goal
4241,1.3432826,5.4728813,goal
4369,4.717178,3.026238,goal
4480,8.359594,4.562822,goal
4379,0.949334,5.096926,goal
4296,8.204662,3.8468308,goal
4406,9.049709,2.8663342,goal
4485,9.593892,4.063745,goal
4497,1.9270236,4.0117955,goal
4305,5.4168224,4.861457,goal
4570,7.3578744,1.8624552,goal
4222,3.000481,2.199087,goal
4160,7.7455006,4.996864,goal
4408,6.219898,4.7790895,goal
4347,5.168055,7.65685,goal
4362,2.8451679,6.5418153,goal
4180,5.8460875,7.822803,goal
4234,5.795777,4.3722224,goal
4526,8.960759,1.985537,goal
4244,1.4624634,6.4511833,goal
4198,3.788411,2.5615509,goal
4489,3.7527092,3.3100264,goal
