umap1,umap2,state
-0.082705535,6.713381,start
0.5313426,9.676446,start
6.6488676,6.3209195,start
1.5592033,7.9733677,start
-0.7171567,8.570956,start
-0.7250671,6.0179358,start
-2.7107003,7.822171,start
-0.15494034,6.9411163,start
-0.0436487,7.577139,start
0.110183,5.7376404,start
0.64907175,7.5159316,start
1.9012293,6.5948052,start
-1.1992257,8.122028,start
3.3976862,7.3909736,start
-0.16999115,7.934974,start
-0.16208376,8.503762,start
4.5590434,6.520364,start
3.4281769,10.469091,start
5.1427627,3.918636,start
5.4506187,4.1121244,start
-1.9465871,7.457454,start
-0.26715037,5.704461,start
1.9871918,8.600254,start
-0.7608717,8.667943,start
-1.3401233,9.0946045,start
0.06610324,8.464918,start
-0.2908864,6.510214,start
1.9032246,8.571078,start
1.951196,8.1420145,start
0.103737496,5.91241,start
1.9674985,8.731259,start
5.4973254,5.1743364,start
-0.97949785,6.3455496,start
-0.96425176,8.263795,start
1.5973645,10.28604,start
1.1735176,6.0931478,start
-0.26490518,9.451061,start
0.49270058,9.787085,start
5.3731093,8.927458,start
0.15685531,6.808601,start
1.8543035,9.642303,start
0.82790774,7.987824,start
5.599046,5.5087633,start
-1.0530379,6.5074015,start
-0.38316137,6.2679615,start
-1.8054957,8.42937,start
0.58786625,5.965879,start
6.2062297,9.817078,start
1.6205904,7.9896097,start
6.5666986,4.517901,start
-1.6730698,6.0647573,start
0.37847203,9.220644,start
-0.39606622,9.670986,start
-0.48869154,9.927336,start
-0.14973763,7.0539784,start
6.974689,10.013712,start
0.32969677,8.546133,start
6.6516256,9.5031,start
-2.1772106,6.5756664,start
1.5358752,6.440645,start
0.5287098,8.821521,start
-1.2882565,9.539367,start
0.1982979,10.000238,start
0.49201587,7.8793826,start
0.1556831,10.328977,start
-1.6882155,7.5782075,start
6.1260467,5.9121714,start
3.2553523,8.234955,start
1.9433479,8.321533,start
1.9398904,5.5392485,start
-1.3332487,9.197946,start
-1.7401341,7.677785,start
3.7354054,7.720109,start
1.8306749,6.207209,start
