"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNRF3-IT1",-0.331010261420832,-0.317351665245262,-0.740910277046114,0.462034967522387,0.86602255777172,-4.61532024154718
"EFNB2",-0.215061084784526,3.28241912518616,-0.74090699096303,0.462036943238676,0.86602255777172,-4.65536989819265
"BCAS1",-0.426139959791582,-1.41595257363011,-0.740110929874455,0.46251570790427,0.86602255777172,-4.61138156315298
"CD177",-0.430942426676866,-1.61638603856169,-0.738710821723952,0.463358447007976,0.86602255777172,-4.6110002512498
"KCNMA1",0.116980209578184,8.56057045240449,0.738620917859981,0.463412591101787,0.86602255777172,-4.73545228555618
"AGR3",0.419634913990916,-0.413063598123617,0.737566222680703,0.464048046059992,0.86602255777172,-4.61618848867963
"LGALS7",-0.441725988219575,-1.47187961892745,-0.737365680773956,0.464168929212607,0.86602255777172,-4.61132755352521
"POMGNT1",-0.133966520607104,5.68247949180482,-0.737319557836338,0.464196733862694,0.86602255777172,-4.69395780061974
"RFC5",-0.126970554301462,3.31157802074393,-0.73718640602716,0.464277008156488,0.86602255777172,-4.65745826092635
"SERPINB5",-0.423448184938605,-1.66244638819708,-0.737141554737773,0.464304049800678,0.86602255777172,-4.6109479118143
"FOXP3",-0.401369779594937,-1.25060594990089,-0.737070764022699,0.464346732623117,0.86602255777172,-4.61201273814246
"CCL4",-0.42202603458307,-1.40583951473073,-0.735926546605026,0.465036942925812,0.86602255777172,-4.61160391111439
"ARSD-AS1",-0.354607942731478,-0.901306769190715,-0.735655625324238,0.465200452870249,0.86602255777172,-4.61310169028353
"FAM72D",0.372598046384625,-0.625630213304417,0.735439276236127,0.465331050300455,0.86602255777172,-4.615265577673
"BTG2",0.258691106524958,8.67391073231678,0.734820210725765,0.465704860128248,0.86602255777172,-4.73918115468912
"ATP6V1B2",0.110510282746758,7.2043744478965,0.734397707246723,0.465960078562894,0.86602255777172,-4.71728661810349
"THOC5",0.110944337816258,4.68559394029937,0.733721053506041,0.46636898601206,0.86602255777172,-4.68036491687166
"SERPINB7",-0.427923784363023,-1.56338623190201,-0.732839390785565,0.466902089378292,0.86602255777172,-4.61135800325225
"ANTXR1",-0.370716647247414,-0.305638836517199,-0.732353239239514,0.467196192889434,0.86602255777172,-4.61626613781956
"FLT1",-0.337719554304514,-0.020540127363079,-0.731912567583018,0.467462874047983,0.86602255777172,-4.61795529327197
"SLC7A11",0.231555191892567,6.2411202877303,0.731907809047477,0.467465754243401,0.86602255777172,-4.70450379570747
"UPRT",0.11880497307082,4.43626265803144,0.731734679749731,0.467570550971061,0.86602255777172,-4.67783429994269
"COL4A6",-0.419272411018833,-1.66244638819708,-0.73155372589842,0.467680098286053,0.86602255777172,-4.61121503355791
"MLF1",-0.178042091749171,6.52255063092766,-0.731269669240286,0.467852092323318,0.86602255777172,-4.70602196042662
"MHENCR",0.176515756007454,5.37103185522945,0.73124923610277,0.467864465814513,0.86602255777172,-4.69142714133009
"CPB2",-0.420734520771258,-1.59640628400036,-0.730417268734964,0.468368430354301,0.86602255777172,-4.61143140835343
"WDR93",0.266712238331367,0.748666523911834,0.730078258360715,0.468573874639267,0.86602255777172,-4.6250994634429
"MICAL2",0.249838040325784,1.676896276052,0.729663040278132,0.468825571588049,0.86602255777172,-4.63573675593664
"LINC01990",0.290311831199555,1.36849539607819,0.728283719182311,0.469662240813145,0.86602255777172,-4.63173044377992
"MGAT5B",-0.373598281475972,-0.684114771205311,-0.727853304186978,0.469923495830543,0.86602255777172,-4.61428695045178
"DSC3",-0.398212276107607,-1.44117271917052,-0.726940700191075,0.470477705007212,0.86602255777172,-4.61188005632182
"SAAL1",-0.0944281475248614,4.07455287728441,-0.725916414599737,0.471100178479798,0.86602255777172,-4.67125969565096
"SLMAP",-0.127945024420225,5.87471883298763,-0.724236738811435,0.472121953193404,0.86602255777172,-4.69922907160155
"LINC01116",-0.221726577913271,2.13534001524712,-0.724026484745702,0.472249942633405,0.86602255777172,-4.64034239607641
"RCL1",-0.114883430280385,4.58258841384799,-0.72382501043214,0.472372605958101,0.86602255777172,-4.6802446774965
