"gene_name","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ANKLE2",0.236129214531709,5.34307357526668,1.46659724043793,0.148487499269634,0.796836848487327,-5.4179255858601
"CCR10",0.427486413661226,3.9796513034927,1.4663497192445,0.148554655070377,0.796836848487327,-5.34531010067277
"S100A10",-0.457247830489115,5.91803601453759,-1.46457323506602,0.14903733942829,0.796836848487327,-5.43686346036026
"LAMC3",0.577341801892377,-1.30834534971351,1.46383425174179,0.149238489281105,0.796836848487327,-4.80158818921739
"AMY2B",0.626061375153375,0.551685381301694,1.46382178491524,0.149241884555276,0.796836848487327,-4.97847698497957
"PLIN2",-0.278280987578144,3.33706085745335,-1.46370349593785,0.149274102949959,0.796836848487327,-5.27610393290242
"TNFAIP8L3",0.726709308100619,-1.86164061351755,1.46030259478533,0.150202744934197,0.797585169912711,-4.77710291776115
"CD96",-0.533088146270014,-1.71131578226916,-1.45773932018037,0.150905657626539,0.797585169912711,-4.77162359053798
"VAMP8",-0.22737122505688,5.93756317404861,-1.45671470641152,0.151187352399939,0.797585169912711,-5.45169445913415
"NFE2L2",0.270620410548925,6.07227937487641,1.4565653353987,0.151228453045117,0.797585169912711,-5.46220684405026
"FKBP1A",-0.282053634891003,6.28083626910406,-1.45610733989559,0.151354528823222,0.797585169912711,-5.46446517905848
"ZNF607",0.352448883971967,1.59935294774298,1.45528081238376,0.151582261587008,0.797585169912711,-5.12100647395383
"NANOG",-0.529665554390207,-0.666465016043613,-1.45481393528979,0.151711018660366,0.797585169912711,-4.83593897498889
"POMGNT1",-0.222202877032229,4.34145971548293,-1.45437627525387,0.151831795954877,0.797585169912711,-5.37064766168758
"SCNM1",-0.204562652583682,4.00695780807889,-1.45292065715116,0.152234032419518,0.797585169912711,-5.34787050425671
"TGFB2",0.684486046111687,-2.32702130973883,1.45235716339579,0.152389968688297,0.797585169912711,-4.7678801454997
"TARBP2",-0.321679176034563,2.34230857471814,-1.45231039153476,0.152402917538893,0.797585169912711,-5.18302307492026
"MGLL",0.528748927684431,-0.0553655352991169,1.45094675309387,0.152780821511171,0.797585169912711,-4.93136505409727
"LINC00511",0.2117229082906,6.66015016525423,1.45062357546116,0.152870490899936,0.797585169912711,-5.48920637426241
"GHITM",-0.141605446109695,7.6840185143718,-1.44561143787533,0.154266446479156,0.803079818007013,-5.52047613086832
"CDH19",0.750064020052797,-2.32455034114851,1.44492280162459,0.154459018330015,0.803079818007013,-4.77654733748272
"SAT1",-0.194850934930871,7.88718098512552,-1.44265224680928,0.155095293013004,0.804805145204054,-5.52875293044157
"APOA1",0.412492061694256,0.597649883783883,1.44081410343196,0.155611892012281,0.804805145204054,-5.01531217295324
"PAFAH1B1",0.192201246030065,6.44142855627805,1.4404161691441,0.155723905767433,0.804805145204054,-5.49649442528982
"FOXK1",0.216522979342273,4.43740211883118,1.43921628948141,0.156062038735227,0.804805145204054,-5.40642171960689
"UBE2I",-0.147895184017418,6.45895999739252,-1.43896115001485,0.156134012339592,0.804805145204054,-5.49572067845638
"CDKN1A",0.385096451303667,5.99755736314172,1.43801739388903,0.156400466551321,0.804805145204054,-5.48698819538173
"TYROBP",-0.735570294856184,-1.97141234224802,-1.43609835395022,0.156943370596844,0.80491832672536,-4.78686629972114
"CEBPB",-0.27403992457999,4.84921063903913,-1.43496761323044,0.157263949247797,0.80491832672536,-5.42573236881146
"NSUN2",-0.187936478599361,3.03892377415295,-1.43429132926934,0.157455927816027,0.80491832672536,-5.28831446757705
"TMEM158",0.345657840700586,4.35672794931677,1.43305522877132,0.157807295176312,0.80491832672536,-5.41216590488107
"STAB1",0.487398369955205,-1.95648535142726,1.43269724409444,0.157909168043488,0.80491832672536,-4.80401524242636
"LGALS1",-0.573915042037826,1.91445842044584,-1.43164213567978,0.15820972185328,0.80491832672536,-5.16170607963336
"POU4F1",0.542571616056981,-2.34916400637261,1.42791877465372,0.159273905738932,0.80491832672536,-4.79485202018548
"MLF1",-0.357248645297881,5.83507857235684,-1.42589223222002,0.159855454616876,0.80491832672536,-5.48594422006877
"ALOX5AP",-0.556518417332929,0.826390458542002,-1.42551043226766,0.15996520296419,0.80491832672536,-5.0203095901286
"FAM43A",-0.500234884270055,-0.856976420583339,-1.425235500691,0.160044268307628,0.80491832672536,-4.86200094071037
"MHENCR",0.242777859682341,3.98194967295617,1.42400104403872,0.160399650438018,0.80491832672536,-5.39806850802855
"VGF",0.322022879671119,8.5264351766523,1.42385507112628,0.160441714462391,0.80491832672536,-5.57072589501192
"RITA1",-0.306350310575584,3.24946000326052,-1.42358854302619,0.160518540188117,0.80491832672536,-5.32109477261203
"PRAP1",0.587394710690761,-1.80048776404962,1.42298818676078,0.160691695416437,0.80491832672536,-4.82623623097247
"DUSP18",-0.304459001995908,2.57773668424542,-1.42293778847007,0.160706237936097,0.80491832672536,-5.24675758229732
"MT1M",-0.833658950100792,1.72735939198347,-1.42290617966846,0.160715359236164,0.80491832672536,-5.12059050547546
"LTB4R2",0.395876513541144,-0.0405497459310271,1.42031888229118,0.161463337105397,0.807316685526987,-4.96422768161307
"TGS1",0.184978102128514,4.08996208713658,1.4193603879452,0.161741119802099,0.807359999012139,-5.40943008433714
"TONSL",-0.444242466798995,0.20760972331588,-1.41771491976536,0.162218860906283,0.808399639067855,-4.97259709846173
"CDC5L",0.185661977138069,5.51337172401848,1.41394170703085,0.163318502404869,0.812529862710792,-5.49704307137205
"KLHL18",0.223619673170682,4.08185135181653,1.41240247745941,0.163768742954817,0.813420908715977,-5.41931501036017
"PLAUR",-0.652182896178153,0.735614275647184,-1.41127496508754,0.164099162268097,0.813497576803481,-5.01525920939954
"PLAC9",-0.43343490869218,-0.517405560153868,-1.41050019081999,0.164326510514303,0.813497576803481,-4.90746787001323
"TTN",0.645353203324383,0.569792321830101,1.40686268357888,0.165397158303171,0.817448887824571,-5.06850196498803
"EMCN",-0.679732374165499,-2.21776910552027,-1.40486772912323,0.165986633604238,0.819012994757752,-4.81796554405408
"IGFBP2",-0.455886910895515,4.29484747945984,-1.40247649218091,0.166695344629771,0.820710591152755,-5.43384390642967
"CAV1",-0.759081703470456,-1.6102921138678,-1.39999570429881,0.167433067829933,0.820710591152755,-4.84581824025124
